Name,Area,Full_Address,Dining,Veg,zomato_reviews,zomato_ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Fantastic Food Story,"Girish Park, Kolkata","48, Vivekananda Road, Girish Park, Kolkata",1,0,361,4,5990,,"Jeera Rice, Malai Kofta, Masala Dosa, Dal Makhani, Hakka Noodles","Cordial Staff, Relaxed Atmosphere, Family Restaurant, Family Crowd, Awesome Food, Tasty Food",850
The Dugout,"Bhawanipur, Kolkata","31, Sarat Bose Road, Bhawanipur, Kolkata",1,0,1857,4,1412,The Football themed decor.,"Cheese Corn Roll, Italian Sizzler, Mexican Rice, Cheese Fondue, Kit Kat Shake, Shisha","Sporty Ambience, Sound System, Hookah Lovers, Amazing Music, Live Sports, Awesome Music",1200
The Royal Bengal Tiger Cafe,"Southern Avenue, Kolkata","78, P-78, Ground Floor, Hemanta Mukhopadhyay Sarani, Rabindra Sarabar, Ward 90, Borough 8, Lake Road, Southern Avenue, Kolkata",1,0,8,4,6,,,,450
The Cream & Fudge Factory,"Southern Avenue, Kolkata","22/A, Cocker's Lane, Southern Avenue, Kolkata",0,0,60,3.4,286,,,"Totally Worth it, Table Service, Pretty Decor, Quantity, Packaging",400
The Bikers Cafe,"Elgin, Kolkata","31, Lala Lajpat Rai Sarani, Kolkata Municipal Corporation, Elgin, Kolkata",1,0,3510,4.1,2309,The rustic ambiance with the biker feel to it,"Potato Potholes, Basil Bruschetta, Fruit Crepe, French Benedict, Strawberry Waffle, Kiwi Mocktail","Breakfast Joint, Wooden Interiors, Different Ambience, Live Band, Cool Decor, Free Wifi",1100
Bombay Brasserie,"Quest Mall, Ballygunge, Kolkata","33, 5th Floor, Quest Mall, Syed Ali Amir Avenue, Ballygunge, Kolkata",1,0,1518,4.1,809,Indian desserts served in style!,"Chur Chur Parantha, Amritsari Kulfa, Dumpukht Biryani, Salli Chicken, Prawn Koliwada, Soda Sikhanji","Bright Lights, Classy Decor, Live Kitchen, Classy Ambience, New Menu, Soothing Ambience",1900
Raviz,"Bhawanipur, Kolkata","63, Ashutosh Mukherjee Road, Near Netaji Bhawan Metro Station, Bhawanipur, Kolkata",1,0,217,4.1,310,,,"Reasonable Prices, Nice Ambience, Decor, Good Place, Food Quality, Quantity",600
Haji Liyaqat Sweets,"Park Circus Area, Kolkata","37 C, Shamsul Huda Road, Park Circus Area, Kolkata",0,1,0,4.1,157,,,,50
Chinese Wall,"Shyam Bazar, Kolkata","2, Shibdas Bhadur Street, Fariapukur, Shyam Bazar, Kolkata",0,0,153,3.9,3447,,"Chicken Kaviraji, Paneer Pakora, Fish Chilli, Fried Rice","Casual Seating Area, Good Crowd, Great Recommendations, Reasonable Prices, Owner, Packing",500
Food Station,"Bow Bazar, Kolkata","52/1/1A, Near Medical College, Bow Bazar, Kolkata",1,0,1173,4.2,1770,,"Tai Pai Chicken, Chicken Wonton, Lat Mai Kai, Chicken Lasagna, Chicken Stroganoff, Combo Meals","Good Pricing, Free Wifi, Light Music, Themed Decor, Great Value, Cozy",1000
  Royal Fahad Biryani,"Entally, Kolkata","139C/1, Ananda Palit Road, Entally, Kolkata",1,0,1,3.6,55,,,,400
Spicy Alley,"Bow Bazar, Kolkata","5A, Indian Mirror Street, Ward Number 51, Bow Bazar, Kolkata",0,0,0,-,7,,,,100
Snack On Sushi,"Ballygunge, Kolkata","3/2, Baman Para Lane, Ballygunge, Kolkata",1,0,8,4.3,78,,,"Pretty Cafe, Food Presentation, Worth the Money, Timely Service, Delicious Food, Great Portions",400
Yo Chinese,"Park Circus Area, Kolkata","Plot 8-A, 7 Point, Mrigendralal Mitter Road, Park Circus Area, Kolkata",0,0,0,3.2,1,,,,200
Noodle King,"Entally, Kolkata","174 A J C, Ground Floor, Bose Road, Entally, Kolkata",0,0,0,-,0,,,,150
Pizza Huts,"Picnic Garden, Kolkata","30/2, Kustia Masjid Bari Lane, Picnic Garden, Kolkata",0,0,0,-,6,,,,300
Big Phil's,"Bow Bazar, Kolkata","14, BB Ganguly Street, Near West Bengal Consultancy Organisation, Bow Bazar, Kolkata",1,0,20,-,11,,,,500
Happy Cones,"Bhawanipur, Kolkata","6 Ganga Prasad Mukherjee Road, Borough VIII, Bhawanipur, Kolkata",1,0,7,-,15,,,,250
Banjara,"Taltala, Kolkata","15, Mirza Ghalib Street, Taltala, Kolkata",1,0,10,-,8,,,"Attentive Servers, Good Food Good Quality, Attitude, Fresh Food, Staff",700
Oriental Heritage,"Tangra, Kolkata","119/A/1, Matheswartola Road, Tangra, Kolkata",0,0,0,-,6,,,,250
Nisha's Bakery & Kitchen,"Shyam Bazar, Kolkata","585, Rabindra Sarani, Baghazar, Shyam Bazar, Kolkata",0,0,0,4.3,68,,,"Tasty Appetizers, Great Veg Options, Healthy and Delicious, Fresh Food with Good Quality, Mouth Watering Food, Best Food under Best Budget",200
Hot Flavourish,"Tangra, Kolkata","35/1, Christopher Road, Tangra, Kolkata",0,0,0,-,2,,,,200
Chata Chati,"Gariahat, Kolkata","23/51, Gariahat, Kolkata",0,0,0,3.7,63,,,,150
Pyare Kabab,"Topsia, Kolkata","59C, Block E, Ground Floor, Gulam Jilani Khan Road, Topsia, Kolkata",0,0,0,4.3,74,,,,300
The Kunal's Kitchen,"Tollygunge, Kolkata","48/21/1, Purna Chandra Mitra Lane, Swiss Park, Near Swiss Park Nursing Home, Tollygunge, Kolkata",0,0,0,4,60,,,,100
Dunkel Braun,"Southern Avenue, Kolkata","176, Sarat Bose Road, Southern Avenue, Kolkata",1,0,18,-,10,,,"Customizable Food, Fresh Food, Staff, Good Quality",500
Desi Chinese,"Picnic Garden, Kolkata","143/84, Ward -D66 Picnic Garden Road, Kolkata",0,0,0,-,7,,,,100
Swad Sadan,"Picnic Garden, Kolkata","187A, Picnic Garden, Kolkata",1,0,6,4,34,,,,250
My Froyoland,"Elgin, Kolkata","5A/1A, Lord Sinha Road, Near Exide More, Elgin, Kolkata",1,0,20,-,16,,,"Self Service, Concept, Customizable Food, Prices, Good Quality, Experience",300
North East Kitchen,"Golpark, Kolkata","57F, Purna Das Road, Golpark, Kolkata",0,0,0,4.1,109,,,"Worth the Money, Extensive Menu, Food Presentation, Timely Service, Great Portions, Delicious Food",150
Mamasan,"Southern Avenue, Kolkata","17, Lake View Road, Southern Avenue, Kolkata",1,0,745,3.9,1351,,"Chocolate Decadence, Sri Lankan Chicken, Chicken Wonton, Cola Float, Chicken Stuffing, Chilly Garlic Noodles","Classy Decor, Large Servings, Soothing Ambience, Warm Hospitality, Calm Ambience, Comfortable Seating",1000
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"Kestopur, Kolkata","17A, Kavi Bharati Sarani, Lake Road, Ward 87, Kestopur, Kolkata",0,0,0,4.6,224,,,,100
Abdul Hadi Biryani,"Picnic Garden, Kolkata","45, Kustia Road, Picnic Garden, Kolkata",1,0,1,-,10,,,,200
Bhikharam Chandmal Grandsons,"Park Street Area, Kolkata","46 C, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",1,1,41,3.6,377,,,,200
Tara's Kitchen,"Ballygunge, Kolkata","18/6, Jamir Lane, Near Besco Company, Ballygunge, Kolkata",0,0,0,3.6,1565,,,"Yummy Food, Healthy Food, Best Food, Combos, Awesome Food, Reasonable Price",150
Petuk Kolkata,"Hatibagan, Kolkata","118, Raja Dinendra Street, Hatibagan, Kolkata",0,0,0,3.9,10100,,,"Great for Birthdays, Weekend Brunch, Good Taste, Reasonable Price, Great Portions, Good Food",150
Inch By The Lane,"New Alipore, Kolkata","651A, Block 0, Ground Floor, 50 Ullaskar Dutta Sarani, New Alipore, Kolkata",0,0,0,-,15,,,,200
The Burger Shop ,"Lake Market Area, Kolkata","69C, Rash Behari Avenue, Lake Market Area, Kolkata",0,0,0,4.3,219,,"Spaghetti, Burgers, Meat, Fries","Proper Packaging, Portion Size, Worth the Money, Great Portions, Timely Service, Taste",300
The Day Room Cafe,"Hindustan Park, Kolkata","52D, Hindustan Park, Kolkata",1,0,77,-,10,,,"Great Place for Family, Best in Service, Cheap and Affordable, Excellent Location, Served Quickly, Fair Prices",1000
Sweet Tooth,"Lake Market Area, Kolkata","30C, Kavi Bharati Sarani, Ward 087, Borough, Lake Market Area, Kolkata",0,0,0,-,0,,,,100
Saptapadi,"Behala, Kolkata","26/1, Biren Roy Road, Ward 123, Behala, Kolkata",1,0,0,-,0,,,"Great Place for Family, Comforting Atmosphere, Delicious Food, Timely Service, Experience",500
The Taste Of India,"Tollygunge, Kolkata","101, Tollygunge Circular Road, Tollygunge, Kolkata",0,0,0,4.1,70,,,,100
Just For Foodies,"New Alipore, Kolkata","22, Hari Prasad Sastri Sarani, New Alipore, Kolkata",1,0,3,-,12,,,,300
The Ramen Bar,"Park Circus Area, Kolkata","33, Sayed Amir Ali Avenue, 4th Floor, Borough - Vii, Park Circus Area, Kolkata",0,0,7,-,25,,,,400
Naturaas,"Southern Avenue, Kolkata","P-141, Borough VIII, Kolkata Municipal Corporation, Lake Road, Southern Avenue, Kolkata",0,0,0,-,7,,,,150
Ather Biryani,"Taltala, Kolkata","20, Abdul Halim Lane, Taltala, Kolkata",1,0,40,4,1232,,,,200
TBC Bowlz,"Gariahat, Kolkata","37/1, Purna Das Road, Gariahat, Kolkata",0,0,0,4.1,244,,,,200
Aajisai,"Quest Mall, Ballygunge, Kolkata","33, 5th Floor, Quest Mall, Syed Ali Amir Avenue, Park Circus Area, Kolkata",1,0,509,4.2,418,,"Spicy Salmon Roll, Tuna Nigiri, Chicken Teppanyaki, Maki Roll, Wasabi Ice Cream, Prawn Sushi","Live Kitchen, Comfortable Seating Area, Relaxed Atmosphere, Themed Decor, Servings, Courteous Staff",1600
The Flaming Bowl,"Bhawanipur, Kolkata","30, Harish Mukherjee Road, Bhawanipur, Kolkata",1,1,103,4.3,219,,"Maki Sushi, Dimsums, Desserts, Starters","Vegan Options, Menu Options, Pure Veg, Very Affordable, Family Crowd, Good Music",1000
New Anam Restaurant,"New Market Area, Kolkata","Shop 3A/1, 6A, Ground Floor, Futnani Chambers, S N Banerjee Road, New Market Area, Kolkata",1,0,4,-,16,,,,500
Grill Star Chef,"Golpark, Kolkata","3 E/35H/14, Keyatala Road, 3 Lake Colony, Golpark, Kolkata",0,0,0,3.9,45,,,,250
Punjabi Fusion,"New Alipore, Kolkata","31/3, Sahapur Colony, New Alipore, Kolkata",0,1,0,3.5,231,,,,150
Gharer Khaber,"Topsia, Kolkata","7/1C, Rai Charan Pal Lane, Gobra, Topsia, Kolkata",0,0,0,3.4,108,,,,100
Rising Bun,"Kankurgachi, Kolkata","10B, Haramohan Ghosh Lane, Kankurgachi, Kolkata",0,0,0,4,14,,,,250
Burger Ground,"Kasba, Kolkata","59 A, KN Sen Road, Kasba, Kolkata",0,0,0,3.8,510,,,"Worth the Money, Great Portions, Fresh Food, Good Quality",250
Krusty Krumbells,"Bhawanipur, Kolkata","Survey 46/1B, Ground Floor, Pandit Mohan Malaviya Sarani, Bhawanipur, Kolkata",0,0,0,-,4,,,,100
Crust & Core,"New Alipore, Kolkata","19/3, Pitambar Ghatak Lane, Chetla, New Alipore, Kolkata",0,0,27,-,10,,,"Staff Behaviour, Cafe, Price, Service, Food",350
Topsia Biryani House,"Topsia, Kolkata","4/C, Topsia Road, Topsia, Kolkata",1,0,4,3.7,95,,,,200
Artsy,"Minto Park, Kolkata","230/B, AJC Bose Road, Minto Park, Kolkata",1,0,1154,4.5,308,,"Mushroom Pate, Vietnamese Iced Coffee, Fluffy Omelette, Continental Breakfast, Eggs Benedict, Cappuccino","Amazing Food at Amazing Price, Decor was Nice, Calm Ambience, Beautiful Cafe, Comfortable Seating, Art",800
Drunken Monkey,"Desapriya Park, Kolkata","143/D, Ground Floor, Sarat Bose Road, Near Manoharpukur Crossing, Desapriya Park, Kolkata",1,0,188,4.3,1351,,"Thickshakes, Smoothies, Juices, Drink","Board Games, Concept, Good Place, Menu, Staff, Quantity",350
Fatty Mamma Chinese Restaurant,"Tollygunge, Kolkata","4, Russa Road South, 2nd Lane, Tollygunge, Kolkata",1,0,48,4,123,,"Toffee Banana, Pork Ribs, Prawns, Starters, Noodles, Chicken","Chinese Restaurant, Best Food under Best Budget, Seating Arrangement, Hospitality, Environment, Family Crowd",1200
Zold,"Southern Avenue, Kolkata","124B, 2nd Floor, Dr. Meghnad Shah Sarani, Southern Avenue, Kolkata",1,0,173,3.9,43,,"Blueberry Cheesecake, Chocolate, Pizza, Pasta","Amazing Vibe, Interesting Decor, Variety of Pizza, Sanitised Service, Clean and Hygienic Place, Nice Concept",900
The Platform Cafe,"Girish Park, Kolkata","14/2B, Beadon Street, Hedua, Girish Park, Kolkata",1,0,26,-,10,,,"Cooperative Staff, Excellent Location, Fantastic Decoration, Very Affordable, Served Quickly, Clean and Hygienic Place",300
Tribe,"Golpark, Kolkata","67, Ballygunge Gardens, Golpark, Kolkata",1,0,520,4.2,110,,"Chicken Xacuti, Chicken Stroganoff, Grilled Chicken, Salads, Chocolate, Chips","Books Books and Books, Artistic Ambience, Bookshelf, Decor is Excellent, Board Games, Beautiful Cafe",600
Jhantu Roll,"Park Circus Area, Kolkata","P-7, Darga Road, Near Chittaranjan Hospital, Park Circus Area, Kolkata",1,0,4,-,8,,,,150
Eurasia Kitchen,"Maniktala, Kolkata","20, Vidyasagar Street, Maniktala, Kolkata",0,0,0,3.5,105,,,"Contactless Delivery, Delicious Taste, Mouth Watering Food, Tamper Proof Packaging, Best Food under Best Budget, Great Portions",250
With Love Brownie,"Gariahat, Kolkata","49, Southend Park, Gariahat, Kolkata",0,1,0,4.4,206,,,,250
Soul- The Sky Lounge,"Camac Street Area, Kolkata","4A Nandalal Basu Sarani Camac Street Area, Kolkata",1,0,367,3.3,55,,"Chinese Platter, Tandoori Momos, Cocktail, Shisha, Chicken Steak, Kebabs","Beautiful View, Rooftop, Fair Prices, Ambience was Super Cool, Dj, Hookah",1500
The Pan Asian Diner,"Southern Avenue, Kolkata","124B, Dr Meghnad Saha Sarani, Southern Avenue, Kolkata",0,0,0,4,20,,,,150
Kim Li Loi,"Tangra, Kolkata","56, Matheswartala Road, Tangra, Kolkata",1,0,33,4,507,,,,1000
Mizuki,"Bhawanipur, Kolkata","18A, Ramesh Mitra Road, Bhawanipur, Kolkata",0,0,0,3.7,131,,,"Great Veg Options, Very Affordable, Delicious Taste, Mouth Watering Food, Proper Packaging, Extensive Menu",350
Shakahari Pure Veg Indian,"Elgin, Kolkata","8A, 3rd Floor, Dr Sisir Kumar Bose Sarani, Allenby Road, Elgin, Kolkata",1,0,0,4,72,,,,1050
Riyasat,"Jodhpur Park, Kolkata","1/504, Ground Floor, Gariahat Road (South), Ward No-93, Jodhpur Park, Kolkata",1,0,0,4.4,106,,,"Prices, Quantity, Service, Food, Packaging, Taste",1200
Danish Restaurant,"Sealdah Area, Kolkata","155/H/7, Ground & 1st Floor, Keshab Chandra Sen Street, Sealdah Area, Kolkata",0,0,49,4.2,309,,,"Customizable Food, Fresh Food, Ambiance, Good Quality, Price",500
New Alishan Biryani,"Dalhousie BBD Bagh, Kolkata","Commerce House, 2A Ganesh Chandra Avenue, Dalhousie BBD Bagh, Kolkata",0,0,0,4.3,61,,,,350
Makhan Lal Das & Sons,"Girish Park, Kolkata","313, Rabindra Sarani, Near Shobha Bazar, Girish Park, Kolkata",0,1,0,4,306,,,,50
Meraz Biryani And Fast Food,"Park Circus Area, Kolkata","20, Bright Street, Park Circus Area, Kolkata",1,0,12,2.7,32,,,,200
Biryani 4U,"Picnic Garden, Kolkata","69/1, Tiljala Road, Picnic Garden, Kolkata",0,0,0,3.9,37,,,,300
Nawaabi Shisha,"New Market Area, Kolkata","12/1, 1st Floor, Ward 63, Nellie Sengupta Sarani, Borough 7, New Market Area, Kolkata",1,0,3,-,3,,,,500
Wise Owl-The Coffee Shop,"Hindustan Park, Kolkata","66/2B, Purna Das Road, Hindustan Park, Kolkata",1,0,2311,4.1,940,"A meeting point for young and old, alike","Prawn Croquettes, Mushroom Maggi, Sandwich Platter, Frittata, Avalanche, Chocolate Dessert","Budget Food, Outside Seating, Breakfasts, Outdoor Area, Outdoor Sitting, Pretty Place",1000
Caffeine N Carburetors,"Minto Park, Kolkata","6, 1st and 2nd Floor, Picasso Bithi, Minto Park, Kolkata",1,0,77,3.5,46,,,"Great Place for Family, Awesome Spot to Hangout, Comforting Atmosphere, Concept, Hospitality, Portion Size",1000
Floweraura,"Bhawanipur, Kolkata","5 A, Justice Dwarakanath Road, Near Jadubabur Bazar, Bhawanipur, Kolkata",0,1,0,4.2,54,,,,150
Satvik Kitchen,"Dalhousie BBD Bagh, Kolkata","14, Amartalla Street, Dalhousie BBD Bagh, Kolkata",1,0,1,3.6,21,,,,350
Club Kolkata Mixtape,"Elgin, Kolkata","8A, 4th Floor, Allenby Road, Elgin, Kolkata",1,0,764,3.5,40,,"Coconut Pancake, Shisha, Mud Pie, Tandoori Chicken, Dimsums, Mocktail","Shisha is Great, Good Food and Services, Dj was Amazing, Rooftop Section, Quick Serving, Service is Great",1200
Prity's Kitchen,"Picnic Garden, Kolkata","93A, Dr GS Bose Road, Picnic Garden, Kolkata",0,0,0,4.3,1784,,,"Quick Delivery, Delicious Food, Good Food, Quality, Packaging, Service",200
Pepper Chino,"Paddapukur, Kolkata","Shop 35, Paddapukur, Kolkata",1,0,876,4,4386,,"Tawa Paneer, Dragon Rolls, Classic Margarita, Chicken Yakitori, Cheesy Chicken, Bhuna Mutton","Loved it, Comfortable Seating, Food Menu, Warm Welcome, Best Service, Reasonable Rate",1200
Ar-Han-Thai,"Esplanade, Kolkata","31, Bentinck Street, Esplanade, Kolkata",1,0,34,-,6,,,,500
India's Lost Recipes,"Southern Avenue, Kolkata","192A, Sarat Bose Road, Southern Avenue, Kolkata",1,0,9,3.4,46,,,,700
Icy Fusion,"Elgin, Kolkata","18/1, Sarat Bose Road, Elgin, Kolkata",0,1,525,4.2,305,,"Ferrero Fudge, Chocolate Delight, Ferrero Rocher, Sundae, Ice Creams, Icecream","Cordial Staff, Pocket Friendly, Concept, Quick Service, Courteous Staff, Presentation",300
Juices & More,"Quest Mall, Ballygunge, Kolkata","33, Floor 4, Quest Mall, Syed Amir Ali Avenue, Ballygunge, Kolkata",1,0,67,3.6,89,,,,300
Chin Wah,"Chandni Chowk, Kolkata","2A, Temple Street, Princep Street, Chandni Chowk, Kolkata",1,0,187,4.2,555,Serving authentic chinese since ages.,"Sliced Chilli Pork, Hot Pepper Chicken, Meat Ball Soup, Chicken Momo, Crispy Chicken, Garlic Chicken","Good for Large Groups, Family Place, Service Time, Chinese, Owner, Preparation",600
China Town,"New Market Area, Kolkata","61, S.N. Banerjee Road, Near Society Cinema, New Market Area, Kolkata",1,0,83,4.3,87,,,"Owner, Food Quality, Quantity, Ambience",500
Trincas,"Park Street Area, Kolkata","17, Park Street Area, Kolkata",1,0,1585,4.1,450,Quality ambiance and mouth-watering delicacies,"Shrimp Cocktail, Chicken Ala Kiev, Chicken Stroganoff, Beer, Fish Fingers, Starter","Live Band Music, Live Singing, Singer, Classy Place, Soothing Ambience, Good Value",700
Aaheli - The Peerless Inn,"The Peerless Inn, Esplanade, Kolkata","The Peerless Inn 12, Jawaharlal Nehru Road, New Market Area, Kolkata",1,0,717,-,2,Bangaliana at it's best!!,"Daab Chingri, Jumbo Prawns, Authentic Bengali Food, Sweet Dish, Mutton Kasha, Thali","Bengali Music, Sophisticated, Worth the Price, Live Music, Staff Service, Great Value",4000
Red Hot Chilli Pepper,"Ballygunge, Kolkata","26/2, Ballygunge Circular Road, Ballygunge, Kolkata",1,0,466,4,890,Chinese at it's best,"Manchow Soup, Pork, Starters, Noodles, Fish","Excellent Food, Main Course, Best Place, Preparation, Interior, Good Ambience",1700
Marco Polo,"Park Street Area, Kolkata","24, Park Centre Building, Park Street Area, Kolkata",1,0,1869,4,23,Soothing ambiance that goes really well with the food,"Prawn Thermidor, Ice Cream Sandwich, Creme Caramel, Spaghetti Bolognese, Grilled Bhetki, Lamb Chops","Classy Decor, Spacious Interiors, Classy Ambience, Good Options, Courteous Service, Reasonable Rate",1400
Fung Fa,"Tangra, Kolkata","119/A/1, Matheshwartala Road, Tangra, Kolkata",1,0,90,4.2,148,,,"Family Place, Parking, Portions, Ambiance, Food Quality, Quantity",700
Port 15,"Sector 1, Salt Lake, Kolkata","CB-15, Sector 1, Salt Lake, Kolkata",1,0,280,4.3,49,,,"Amazing Food, Theme, Concept, Family Crowd, Staff Behaviour, Waiter",1000
SAZ- American Brasserie,"Fort Knox, Camac Street Area, Kolkata","6, Abanindra Nath Thakur Sarani, 9th Floor, Ward 063, Br VII, Camac Street Area, Kolkata",1,0,412,4,347,,"Cocktails, Cheesecake, Burgers, Chicken Wings, Pasta, Dessert","Excellent Food and Service, Service is Great, Serving Size, Variety of Pizza, Ambience was Super Cool, Customizable Dishes",1600
Snaptown ,"Machuabazar, Kolkata","77G, Kailash Bose Street, Machuabazar, Kolkata",0,0,0,3.8,438,,,,150
Cake Point,"Beliaghata, Kolkata","10A, Haramohan Ghosh Lane, Beliaghata, Kolkata",1,0,29,4.3,191,,,,400
Express By Mavericks Cafe,"Paddapukur, Kolkata","32/1A, Chakraberia Road South, Paddapukur, Kolkata",1,1,29,4,175,,,,400
Celebration,"Beliaghata, Kolkata","76, Hem Chandra Naskar Road, Beliaghata, Kolkata",0,0,0,4,39,,,,300
Bingo Cakes,"Kankurgachi, Kolkata","6 D, Surah, 2nd Lane, Phoolbagan, Near Kadapara Petrol Pump, Kankurgachi, Kolkata",0,0,1,3.9,172,,,,500
Belgian Waffle Junction,"Camac Street Area, Kolkata","17, Ground Floor, Monalisa Building, Camac Street Area, Kolkata",1,0,22,3.6,172,,,"Cashless Payments, Good Music, Young Crowd, Customizable Food, Elaborate Menu, Timely Service",400
Olivia's Kitchen,"Jadavpur, Kolkata","G/9, Bapujinagar, Jadavpur, Kolkata",0,0,0,4.3,258,,,"Fresh Food with Good Quality, Worth the Money, Great Portions, Food",350
Cafe Na-Ru-Meg,"Lake Market Area, Kolkata","56A, Raja Basanta Ray Road, Lake Market Area, Kolkata",1,0,544,4.2,53,,"Harissa Chicken, Pesto Pasta, Cappuccino, Mocktails, Shake, Brownie","Ambiance is Great, Awsome Food Quality, Trained Staff, Indoor Seating, Beautiful Cafe, Hygienic Place",500
Chapter 2,"Southern Avenue, Kolkata","P-377, Hemanta Mukhopadhya Sarani, Southern Avenue, Kolkata",1,0,139,4.2,493,,"Meat Lasagna, Seafood Chowder, Devilled Crab, Prawn Cocktail, Chicken Stroganoff, Caramel Custard","Music and Ambience, Great Menu, Fantastic Decoration, Cashless Payments, Clean and Hygienic Place, Comforting Atmosphere",1500
Chocopassion,"Bhawanipur, Kolkata","10/B, Gour Mohan Ghosh Road, Bhawanipur, Kolkata",1,1,10,3.6,244,,,,400
The Loop Cafe & Restaurant,"Kankurgachi, Kolkata","103/3, J. K. House, N.M Road, Kankurgachi, Kolkata",1,0,51,4.2,131,,,"Cooperative Staff, Sanitised Service, Comforting Atmosphere, Served Quickly, Nice Concept, Good Quality Food",1000
Munmun's Kitchen11,"Park Circus Area, Kolkata","7, Circus Avenue, Park Circus Area, Kolkata",0,0,0,-,19,,,,100
Noodle Time,"Park Street Area, Kolkata","94A, Ripon Street, Park Street Area, Kolkata",1,0,221,4,3831,,,"Good Food, Price, Packaging, Quantity",400
Leafy Affaire The Cafe,"Park Street Area, Kolkata","10 B, Sarani, Park Street Area, Kolkata",1,0,91,4.3,400,,,"Sit and Read, Variety of Pizza, Healthy Food, Cafe, Tasty, Owner",700
Mandarin Restaurant,"Desapriya Park, Kolkata","217, Sarat Bose Road, Desapriya Park, Kolkata",1,0,858,-,13,Pocket Friendly Chinese food,"Spring Chicken, Cantonese Chicken, Mixed Hakka Chow, Jumbo Prawns, Cantonese Noodles, Egg Noodles","Trained Staff, Family Place, Food Service, Relaxed Atmosphere, Chinese, Authentic Taste",700
China Whites,"Gariahat, Kolkata","14/6, 2nd Floor, Gariahat Road, Opposite Appollo, Gariahat, Kolkata",1,0,1462,4,456,Open Air Seating To Satisfy Cravings for Drinks And Food,"Chicken Konjee, Date Pancakes, Whole Bhetki, Chicken Hakka Chow, Fried Prawns, Pan Fried Noodles","Rooftop Seating Arrangement, Hookah Lovers, Rooftop Ambience, Serving Size, Soothing Music, Cool Place",1000
Santosh Sweets,"New Alipore, Kolkata","P-65/1, Block O, New Alipore, Kolkata",0,1,0,3.5,47,,,,50
Chopstick,"Ballygunge, Kolkata","7/3, Mandeville Garden, Near ITI, Ballygunge, Kolkata",1,0,120,3.6,1792,,,,650
Paris Cafe,"Gariahat, Kolkata","13/10A, Ground Floor, Anil Maitra Road, Gariahat, Kolkata",1,0,1072,4.2,854,A hint of Paris in Kolkata!,"Cheese Panini, Panini Sandwich, Cream Shake, Nutella Crepe, Macaroon, Red Velvet Cakes","Cute Ambience, Pretty Place, Beautiful Decor, Chair, Soft Music, Cosy Place",1000
Oceania,"Southern Avenue, Kolkata","73, Southern Avenue, Kolkata",1,0,136,3.3,65,,,"Decor, Main Course, Music, Ambiance, Staff, Prices",1100
Kaidi Kitchen,"Camac Street Area, Kolkata","4/1, 1st Floor, Abhindra Nath Thakur Sarani, Camac Street Area, Kolkata",1,0,1446,3.9,741,Quirky ambiance that resembles a prison cell,"Paneer Bara Masala, Liti Chokha, Veggie Delight, Cheese Fondue, Panner Tikka, Crispy Baby Corn","Nice Theme, Unique Ambience, Cordial Staff, Pure Veg, Good for Large Groups, Ample Seating Area",1300
Crossroad Crystal,"Golpark, Kolkata","129, Southern Avenue, Golpark, Kolkata",1,0,202,3.7,105,,"Chowmein, Momos, Chilli Chicken, Fried Rice","Comfortable Seating Area, Owner, Tasty Food, Portions, Location, Reasonable Price",700
First Innings Multicuisine Restaurant - The Stadel,"The Stadel, Sector 3, Salt Lake, Kolkata","Gate 3, Salt Lake Stadium, Sector 3, Salt Lake, Kolkata",1,0,632,4,101,,"Chingri Cutlet, Tandoori Prawns, Fish Tikka, Soups, Gulab Jamun, Starters","Excellent Environment, Valet Service, Dessert Menu, Trained Staff, Excellent Food and Service, Themed Decor",1400
Food King,"Wellesley, Kolkata","90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, Wellesley, Kolkata",0,0,0,3.9,13300,,,,150
Bagicha,"Hatibagan, Kolkata","25, Shyampukur Street, Hatibagan, Kolkata",1,0,795,4.4,624,,"Mutton Rara, Kabuli Naan, Mutton Handi, Chicken Tikka Masala, Malai Kofta, Chicken Tandoori","Comfortable Seating Area, Gastronomical Experience, Relaxed Atmosphere, Servings, Best Restaurant, Family Place",600
Campari,"Gariahat, Kolkata","155B, Rash Behari Avenue, Gariahat, Kolkata",0,0,0,4.5,2443,Good food at best prices!,"Fish Roll, Fish Fries, Chicken Roll, Rolls, Fish Fingers, Snacks","Takeaway, Good Quality Food, Reasonable Price, Tasty, Value for Money, Quantity",100
Jalapenos,"Camac Street Area, Kolkata","10, Wood Street, Camac Street Area, Kolkata",1,1,1013,4,1733,Garlic bread that will tempt foodies to lick forks and fingers in public!,"Family Garlic Bread, Italian Sizzler, Cheese Fondue, Ravioli, Sizzling Brownie, Nachos","Pure Veg, Customer Service, Quick Service, Amazing Food, Waiter, Management",1000
Express Meals,"Tangra, Kolkata","10/1/1A, Gobinda Khatick Road, Tangra, Kolkata",0,0,0,-,0,,,,100
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"Tollygunge, Kolkata","11, Ward 89, Deshpran Shasmal Road, Borough X, Tollygunge, Kolkata",0,0,0,4.6,229,,,,100
Aala Biryani House,"Taltala, Kolkata","30, Ripon Street, Taltala, Kolkata",0,0,0,3.9,144,,,,50
